Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,34.5,-33.5,0.0,bottom
C2,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,50.5,-33.5,0.0,bottom
C3,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,66.5,-33.5,0.0,bottom
C4,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,82.5,-33.5,0.0,bottom
C5,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,98.5,-33.5,0.0,bottom
C6,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,34.5,-51.4,0.0,bottom
C7,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,50.5,-51.4,0.0,bottom
C8,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,66.5,-51.4,0.0,bottom
C9,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,82.5,-51.4,0.0,bottom
C10,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,98.5,-51.4,0.0,bottom
C11,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,34.5,-66.5,0.0,bottom
C12,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,50.5,-66.5,0.0,bottom
C13,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,66.5,-66.5,0.0,bottom
C14,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,82.5,-66.5,0.0,bottom
C15,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,98.5,-66.5,0.0,bottom
C16,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,34.5,-81.5,0.0,bottom
C17,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,50.5,-81.5,0.0,bottom
C18,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,66.5,-81.5,0.0,bottom
C19,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,82.5,-81.5,0.0,bottom
C20,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,98.5,-81.5,0.0,bottom
C21,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,34.5,-99.5,0.0,bottom
C22,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,50.5,-99.5,0.0,bottom
C23,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,66.5,-99.5,0.0,bottom
C24,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,82.5,-99.5,0.0,bottom
C25,C_Small,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,98.5,-99.5,0.0,bottom
D1,WS2812B,LED_WS2812B-1615_1.5x1.6mm_1,20.0,-20.0,-90.0,top
D2,WS2812B,LED_WS2812B-1615_1.5x1.6mm_1,23.0,-20.0,-90.0,top
D3,WS2812B,LED_WS2812B-1615_1.5x1.6mm_1,26.0,-20.0,-90.0,top
D4,WS2812B,LED_WS2812B-1615_1.5x1.6mm_1,29.0,-20.0,-90.0,top
D5,WS2812B,LED_WS2812B-1615_1.5x1.6mm_1,32.0,-20.0,-90.0,top
D6,WS2812B,LED_WS2812B-1615_1.5x1.6mm_1,35.0,-20.0,-90.0,top
